,Mass (amu),Time (microseconds),Amplitude
4087,20.62169012345679012345679012,8174,2.9329089204596803
4088,20.63178271604938271604938271,8176,2.8607175500872155
4089,20.64187777777777777777777777,8178,0.7521758757228749
4090,20.65197530864197530864197530,8180,-3.55830205887469
4091,20.66207530864197530864197531,8182,-1.7939770661199632
4092,20.67217777777777777777777778,8184,-0.44491927860991837
4093,20.68228271604938271604938272,8186,2.171075749898606
4094,20.69239012345679012345679012,8188,-1.0883746729175254
4095,20.7025,8190,2.9623948402593365
4096,20.71261234567901234567901234,8192,-2.8403653933812687
4097,20.72272716049382716049382716,8194,2.254256386605685
4098,20.73284444444444444444444444,8196,-0.9108704833482129
4099,20.74296419753086419753086419,8198,-2.2033474186303894
4100,20.75308641975308641975308642,8200,2.4808758732246172
4101,20.76321111111111111111111111,8202,-2.6490131895468494
4102,20.77333827160493827160493827,8204,-4.405193766890282
4103,20.78346790123456790123456790,8206,-2.2069286125257723
4104,20.7936,8208,-4.088766719029763
4105,20.80373456790123456790123457,8210,-3.0489462379104157
4106,20.81387160493827160493827160,8212,-0.21185106612820745
4107,20.82401111111111111111111111,8214,-1.0919830019092265
4108,20.83415308641975308641975308,8216,4.318160211536492
4109,20.84429753086419753086419753,8218,-1.1466460063952688
4110,20.85444444444444444444444445,8220,0.12171599406564226
4111,20.86459382716049382716049383,8222,-0.5504256117812292
4112,20.87474567901234567901234568,8224,2.2148232778842183
4113,20.8849,8226,-0.26037943167316946
4114,20.89505679012345679012345679,8228,0.39204050603422597
4115,20.90521604938271604938271605,8230,0.06880244815176947
4116,20.91537777777777777777777777,8232,5.598068204408901
4117,20.92554197530864197530864197,8234,2.552481227790933
4118,20.93570864197530864197530865,8236,0.8985385573800191
4119,20.94587777777777777777777778,8238,-4.430746873037711
4120,20.95604938271604938271604938,8240,-1.5966132233386368
4121,20.96622345679012345679012346,8242,1.9222409155568339
4122,20.9764,8244,-0.7107067736398304
4123,20.98657901234567901234567901,8246,-0.7641590407247957
4124,20.99676049382716049382716049,8248,0.8006131940322849
4125,21.00694444444444444444444444,8250,-1.6056692347353907
4126,21.01713086419753086419753086,8252,5.114491984813617
4127,21.02731975308641975308641976,8254,1.4235730518886456
4128,21.03751111111111111111111111,8256,-0.6080030009187926
4129,21.04770493827160493827160494,8258,2.757530409731346
4130,21.05790123456790123456790124,8260,1.380577558902912
4131,21.0681,8262,-1.0867452909269935
